nom du vin;vintage;appelation;couleur;ID_wine;ID_Item;prix;occasion de degust;food_pairing;food_pairing_french;gws
Marjosse;2014;Entre deux mers;Red;1859;1859-2014;6;Aperitif, diner, dejeuner;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;85,61
Marjosse;2012;Entre deux mers;Red;1859;1859-2012;8,6;Aperitif, diner, dejeuner;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;85,61
Marjosse;2011;Entre deux mers;Red;1859;1859-2011;9;Aperitif, diner, dejeuner;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;84,82
Marjosse, Blanc;2015;Bordeaux;White;1860;1860-2015;9,23;Aperitif, diner, dejeuner;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;87,86
Bernadotte;2007;Haut Medoc;Red;1229;1229-2007;9,57;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;84,06
Bernadotte;2012;Haut Medoc;Red;1229;1229-2012;9,57;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,38
Greysac;2008;Medoc;Red;1585;1585-2008;9,61;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,4
Senejac;2014;Haut Medoc;Red;2073;2073-2014;10,05;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,35
Larrivaux;2011;Haut Medoc;Red;3863;3863-2011;10,9;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86
Grand Village;2012;Bordeaux Superieur;Red;1579;1579-2012;11,1;Aperitif, diner, dejeuner;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;88,43
Cambon La Pelouse;2007;Haut Medoc;Red;1277;1277-2007;11,49;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,19
du Taillan;2010;Haut Medoc;Red;3081;3081-2010;11,5;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,19
Cambon La Pelouse;2014;Haut Medoc;Red;1277;1277-2014;11,83;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,57
Peyrabon;2013;Pauillac;Red;1972;1972-2013;12;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;67,97
G de Guiraud;2015;Bordeaux;White;1549;1549-2015;12;Aperitif, diner, dejeuner;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;88,92
du Taillan;2006;Haut Medoc;Red;3081;3081-2006;12,5;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,67
Senejac;2012;Haut Medoc;Red;2073;2073-2012;12,66;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,82
Senejac;2013;Haut Medoc;Red;2073;2073-2013;12,9;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;84,21
Grand Village;2011;Bordeaux Superieur;Red;1579;1579-2011;12,91;Aperitif, diner, dejeuner;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;87,32
Poitevin;2012;Medoc;Red;3151;3151-2012;13,06;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;84,31
Ronan by Clinet;2012;Bordeaux Superieur;Red;2686;2686-2012;13,06;Aperitif, diner, dejeuner;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;84,62
Senejac;2011;Haut Medoc;Red;2073;2073-2011;13,27;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,03
Grand Village;2013;Bordeaux Superieur;Red;1579;1579-2013;13,46;Aperitif, diner, dejeuner;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;85,65
Peyrabon;2005;Pauillac;Red;1972;1972-2005;13,46;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,59
Malescasse;2006;Haut Medoc;Red;1852;1852-2006;13,83;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,22
Peyrabon;2012;Pauillac;Red;1972;1972-2012;13,9;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,55
Cap de Faugeres;2012;Cotes de Castillon;Red;1288;1288-2012;13,95;Aperitif, diner, dejeuner;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;87,66
Ronan by Clinet;2011;Bordeaux Superieur;Red;2686;2686-2011;13,96;Aperitif, diner, dejeuner;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;77,71
Cap de Faugeres;2011;Cotes de Castillon;Red;1288;1288-2011;14;Aperitif, diner, dejeuner;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;87,24
Cambon La Pelouse;2012;Haut Medoc;Red;1277;1277-2012;14,25;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,13
Malescasse;2012;Haut Medoc;Red;1852;1852-2012;14,26;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;84,35
de Pez;1999;Saint Estephe;Red;1450;1450-1999;14,36;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;84,54
G de Guiraud;2014;Bordeaux;White;1549;1549-2014;14,49;Aperitif, diner, dejeuner;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;89,44
Cambon La Pelouse;2013;Haut Medoc;Red;1277;1277-2013;14,9;Aperitif, diner, dejeuner;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,17
